word,in_brown,is_name
!,True,False
$.027,True,False
$.03,True,False
$.054/mbf,True,False
$.07,True,False
$.07/cwt,True,False
$.076,True,False
$.09,True,False
$.10-a-minute,True,False
$.105,True,False
$.12,True,False
$.30,True,False
$.30/mbf,True,False
$.50,True,False
$.65,True,False
$.75,True,False
$.80,True,False
$.86,True,False
$.90,True,False
$0.9,True,False
$1,True,False
"$1,000",True,False
"$1,000,000",True,False
"$1,000,000,000",True,False
"$1,200",True,False
"$1,250,000",True,False
"$1,276",True,False
"$1,390",True,False
"$1,450,000,000",True,False
"$1,500",True,False
"$1,500,000",True,False
"$1,600",True,False
"$1,750,000",True,False
"$1,800",True,False
"$1,961,000",True,False
$1.0,True,False
$1.00,True,False
$1.1,True,False
$1.10,True,False
$1.26,True,False
$1.4,True,False
$1.5,True,False
$1.6,True,False
$1.60,True,False
$1.65,True,False
$1.7,True,False
$1.8,True,False
$1.80,True,False
$1.9,True,False
$10,True,False
"$10,000",True,False
"$10,000,000",True,False
"$10,000-per-year",True,False
$10.00,True,False
$10.1,True,False
$10.3,True,False
$10.50,True,False
$10.8,True,False
$100,True,False
"$100,000",True,False
"$102,285,000",True,False
$1020,True,False
$109,True,False
$11,True,False
"$11,900,000",True,False
$11.50,True,False
$110,True,False
"$115,000",True,False
$12,True,False
"$12,192,865",True,False
"$12,500",True,False
$12.00,True,False
$12.1,True,False
$12.50,True,False
$12.7,True,False
$120,True,False
$125,True,False
$128,True,False
$133,True,False
$135,True,False
$139.3,True,False
$14,True,False
"$14,000",True,False
$14.00,True,False
$140,True,False
$148.50,True,False
$15,True,False
"$15,000",True,False
"$15,000,000",True,False
$15.5,True,False
$150,True,False
$1500,True,False
"$157,460",True,False
$16,True,False
"$16,000",True,False
$16.00,True,False
$16.80,True,False
$165,True,False
$17,True,False
"$17,000",True,False
"$17,000,000",True,False
$17.8,True,False
$170,True,False
"$172,000",True,False
"$172,400",True,False
$18,True,False
$18.2,True,False
$18.9,True,False
$184,True,False
$185,True,False
$187,True,False
$19.3,True,False
$2,True,False
"$2,000",True,False
"$2,000,000",True,False
"$2,170",True,False
"$2,300",True,False
"$2,300,000",True,False
"$2,323,867",True,False
"$2,330,000",True,False
"$2,412,616",True,False
"$2,461,000",True,False
"$2,490",True,False
"$2,500",True,False
"$2,557,111",True,False
"$2,700",True,False
$2.00,True,False
$2.09,True,False
$2.30/mbf,True,False
$2.50,True,False
$2.80,True,False
$2.82,True,False
$2.98,True,False
$20,True,False
"$20,000",True,False
"$20,000,000",True,False
"$20,000,000,000",True,False
"$20,447,000",True,False
$200,True,False
"$200,000",True,False
"$200,000,000",True,False
"$200,000-a-year",True,False
$214,True,False
$22,True,False
$22.50,True,False
$222,True,False
$227.72,True,False
"$23,000,000",True,False
"$230,000",True,False
"$24,926,615",True,False
$2400,True,False
$25,True,False
"$25,000",True,False
$25-a-plate,True,False
$250,True,False
"$250,000",True,False
$2500,True,False
$251,True,False
"$253,355,000",True,False
"$26,000,000",True,False
$26.5-billion,True,False
$27.50,True,False
"$278,877,000",True,False
$28,True,False
"$28,700,000",True,False
$28.00,True,False
$29,True,False
"$29,000",True,False
$297,True,False
$3,True,False
"$3,000",True,False
"$3,500",True,False
"$3,500,000",True,False
"$3,675",True,False
"$3,825",True,False
$3.00,True,False
$3.11,True,False
$3.15,True,False
$3.22,True,False
$3.5,True,False
$3.50,True,False
$30,True,False
"$30,000",True,False
"$30,000,000",True,False
$300,True,False
"$300,000",True,False
"$300,000,000",True,False
$306,True,False
"$31,179,816",True,False
$310,True,False
$3100,True,False
"$32,000",True,False
$325,True,False
"$344,000",True,False
$35,True,False
"$35,823",True,False
$350,True,False
"$350,000",True,False
$36,True,False
$37,True,False
"$37,500",True,False
$380,True,False
"$39,000",True,False
$39.5,True,False
"$395,000",True,False
$4,True,False
"$4,000",True,False
"$4,000,000",True,False
"$4,177.37",True,False
"$4,500",True,False
"$4,500,000",True,False
"$4,700",True,False
"$4,753",True,False
"$4,800",True,False
$4.9,True,False
$4.98,True,False
$4/mbf,True,False
$40,True,False
"$40,000",True,False
"$40,000,000",True,False
$400,True,False
$4200,True,False
"$43,000",True,False
$43.50,True,False
$44.3-billion,True,False
$45,True,False
$450,True,False
"$450,000",True,False
"$451,500",True,False
"$457,000",True,False
$46.7,True,False
"$47,101,000",True,False
$5,True,False
"$5,000",True,False
"$5,000,000",True,False
"$5-8,000",True,False
$5.2,True,False
$5.4,True,False
$50,True,False
"$50,000",True,False
"$50,400,000",True,False
$500,True,False
"$500,000",True,False
$5000,True,False
"$52,500",True,False
$538,True,False
"$55,000",True,False
$550,True,False
$56,True,False
"$57,500",True,False
"$58,918",True,False
$580,True,False
$581,True,False
"$581,000",True,False
"$590,000",True,False
$6,True,False
"$6,100,000,000",True,False
"$6,666.66",True,False
$60,True,False
"$60,000",True,False
$600,True,False
$610,True,False
"$625,561",True,False
$63.8,True,False
"$634,517,000",True,False
$639,True,False
$65,True,False
"$65,000",True,False
$650,True,False
"$66,000",True,False
"$67,000",True,False
$7,True,False
"$7,000",True,False
"$7,000,000",True,False
"$7,082",True,False
"$7,500,000",True,False
$7.00,True,False
$7.20,True,False
